id,name,open,labeled,commented,closed
MDU6SXNzdWUzOTIzMzQ4MjM=,https://github.com/google/docsy/issues/2,2018-12-18T21:03:54Z,2023-08-04T21:23:43Z,2023-02-20T16:16:55Z,
MDU6SXNzdWUzOTM2MTMyMTU=,https://github.com/google/docsy/issues/3,2018-12-21T22:58:41Z,,2018-12-23T03:10Z,2019-07-01T14:55:43Z
MDU6SXNzdWUzOTM5NDkzNDA=,https://github.com/google/docsy/issues/4,2018-12-25T02:30:25Z,,2019-01-07T18:17:49Z,2019-01-07T18:17:49Z
MDU6SXNzdWUzOTUxNjU5ODg=,https://github.com/google/docsy/issues/6,2019-01-02T07:17:57Z,2019-03-11T17:38:44Z,2023-06-02T17:19:10Z,2023-06-02T17:19:10Z
MDU6SXNzdWUzOTUxNzAzMDM=,https://github.com/google/docsy/issues/7,2019-01-02T07:47:34Z,2023-06-02T17:21:34Z,,
MDU6SXNzdWUzOTY1OTUzNzY=,https://github.com/google/docsy/issues/9,2019-01-07T18:18:37Z,2019-03-11T17:36:30Z,2019-01-07T21:08:11Z,2019-04-29T16:21:10Z
MDU6SXNzdWUzOTY1OTU4ODQ=,https://github.com/google/docsy/issues/10,2019-01-07T18:20:20Z,2019-03-11T17:39:39Z,2019-07-01T14:53:47Z,2019-07-01T14:53:47Z
MDU6SXNzdWUzOTY1OTcxNjc=,https://github.com/google/docsy/issues/11,2019-01-07T18:24:23Z,2019-03-11T17:37:19Z,2019-01-21T16:08:11Z,2019-06-26T15:06:12Z
MDU6SXNzdWUzOTY1OTc5ODk=,https://github.com/google/docsy/issues/12,2019-01-07T18:27:08Z,,2023-06-02T17:23:01Z,2023-06-02T17:23:01Z
MDU6SXNzdWU0MDMyNzM1Mjc=,https://github.com/google/docsy/issues/18,2019-01-25T18:21:08Z,,2019-01-26T07:54:08Z,2019-01-27T00:11:29Z
MDU6SXNzdWU0MDQ3OTIxODU=,https://github.com/google/docsy/issues/19,2019-01-30T14:19:17Z,2019-03-11T17:39:18Z,2019-11-21T11:14:47Z,2019-11-21T11:14:47Z
